Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
2,39945500,49.0,6300.0,2.0,3.0,3.0,,0,1,106.7077763,10.8152919,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-xi-phuong-26/ban-hem-xe-hoi-75m2-10-2-ty-duong-26-quan-binh-thanh-pr39945500,66.0,0,0,0
6,39592318,300.0,31500.0,,10.0,4.0,10 m,0,1,106.7134492,10.8106097,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-26/-chinh-chu-duy-nhat-dt-300m2-tai-p-26-q-binh-thanh-canh-ben-xe-mien-dong-pr39592318,66.0,1,1,0
7,39884568,35.7,4900.0,2.0,2.0,2.0,,1,0,106.6905402,10.8060688,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-7-9/chinh-chu-ban-7-quan-binh-thanh-moi-100-2tang-no-hau-shr-pr39884568,66.0,1,1,0
21,39882166,75.0,3800.0,4.0,5.0,5.0,5 m,1,1,106.7115208,10.8053637,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-24/ban-gap-ngay-p-24-binh-thanh-gia-75m2-3ty2-so-cho-thue-22tr-thang-pr39882166,66.0,1,0,0
29,39788411,56.25,4150.0,3.0,4.0,3.0,,0,0,106.687335054492,10.8093196030616,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-dau-phuong-6-13/ban-gap-hem-oto-47-p6-q-binh-thanh-dt-56-25m2-1t-2l-gia-tl-4ty150-pr39788411,66.0,1,1,0
34,38186027,51.0,7500.0,4.0,5.0,4.0,"4,45 m",1,1,106.690148,10.8088832,https://batdongsan.com.vn/ban-nha-rieng-duong-le-truc-phuong-7-9/chinh-chu-ban-o-ket-hop-kinh-doanh-can-ban-nh-1-tret-2-lau-150m2-p-7-q-binh-thanh-pr38186027,66.0,1,0,0
43,39904953,73.0,8950.0,3.0,4.0,4.0,6 m,0,0,106.701921,10.8109281,https://batdongsan.com.vn/ban-nha-rieng-duong-chu-van-an-phuong-12-7/b-329-1-p12-qu-binh-thh-chinh-pr39904953,66.0,1,0,0
49,39792792,75.0,3700.0,3.0,4.0,4.0,5 m,1,1,106.7068322,10.7958365,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-cuu-van-phuong-17-1/can-ban-gap-p-17-quan-binh-thanh-gia-tot-75m2-1ty8-lh-pr39792792,66.0,0,0,0
56,39936128,47.1,5400.0,2.0,3.0,2.0,"4,3 m",1,1,106.7183573,10.7992439,https://batdongsan.com.vn/ban-nha-rieng-duong-dien-bien-phu-phuong-22/ban-hem-ngang-4-3m-x11m-1-tret-1-lau-hem-602-p22-quan-binh-thanh-pr39936128,66.0,0,0,0
59,39655802,52.0,5900.0,3.0,4.0,5.0,3 m,1,1,106.6925044,10.8119746,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-dau-phuong-11-7/ban-2-tam-st-co-4-pn-5-wc-no-hau-l-hem-moi-trang-nhua-lam-cong-dep-yen-tinh-pr39655802,66.0,1,0,0
61,39888766,56.0,13600.0,4.0,4.0,5.0,4 m,1,1,106.6841423,10.8081516,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thuong-hien-phuong-6-13/tuyet-pham-3-lau-4x14-full-nt-cao-cap-xay-o-oto-7-cho-do-trong-q-bt-pr39888766,66.0,1,1,0
79,39953040,70.0,2650.0,3.0,4.0,5.0,,1,1,106.7163905,10.8032566,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-gia-tri-phuong-25/chinh-chu-ky-gui-ban-gap-p25-quan-binh-thanh-dt-70m2-2-ty-650-shr-pr39953040,66.0,0,0,0
81,39952274,59.7,2450.0,,4.0,5.0,,0,1,106.7077763,10.8152919,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-xi-phuong-26/ban-gap-p26-q-binh-thanh-gia-2ty450tr-dt-59-7m2-so-san-dang-cho-thue-12tr-thang-pr39952274,66.0,1,1,0
82,39952006,70.0,2850.0,4.0,5.0,5.0,6 m,1,1,106.7091136,10.81159,https://batdongsan.com.vn/ban-nha-rieng-duong-dinh-bo-linh-phuong-26/ket-tien-ban-70m2-gia-2ty850-trieu-26-binh-thanh-cho-thue-28tr-thang-pr39952006,66.0,0,0,0
102,39489814,43.0,5800.0,,,,,0,0,106.6937185,10.795896,https://batdongsan.com.vn/ban-nha-rieng-duong-vu-huy-tan-phuong-3-19/minh-chinh-chu-ban-2-mat-hem-8m-2-o-to-tranh-u-co-le-3-3m-x-13m-gia-6-2-ty-tl-pr39489814,66.0,1,1,0
119,39946199,108.0,23000.0,4.0,5.0,4.0,,0,1,106.7163905,10.8032566,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-gia-tri-phuong-25/ban-hxh-25-binh-thanh-6-x-18m-23-ty-pr39946199,66.0,0,0,0
126,39828609,84.0,15000.0,6.0,15.0,16.0,,1,1,106.7134492,10.8106097,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-26/ban-chdv-hem-643-84m2-6-lau-15-phong-full-noi-that-gia-15-ty-con-thuong-luong-pr39828609,66.0,0,0,1
127,39944363,48.0,7900.0,4.0,4.0,5.0,4 m,1,1,106.7026103,10.8299749,https://batdongsan.com.vn/ban-nha-rieng-duong-dang-thuy-tram-phuong-13-7/hxh-thong-4x12-binh-thanh-4pn-7-9-ty-pr39944363,66.0,0,0,0
150,39911516,250.0,17000.0,2.0,5.0,5.0,25 m,1,1,106.6967678,10.8129255,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-12-7/ban-gap-12-binh-thanh-2-mat-hem-ngang-25x10-tret-lau-gia-17-ty-pr39911516,66.0,0,0,0
151,39925553,80.0,22000.0,4.0,5.0,5.0,4 m,1,1,106.7163905,10.8032566,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-gia-tri-phuong-25/-d2-noi-dai-4x20m-4-tang-dang-cho-thue-36tr-th-22-ty-nh-dinh-24-ty-hhmg-hh1-pr39925553,66.0,0,0,0
172,39932457,58.0,8000.0,1.0,2.0,2.0,4 m,1,1,106.7192368,10.8020983,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-thuong-phuong-25/can-ban-2-can-nat-4x14-5m-can-khu-d1-ung-khiem-p25-binh-thanh-hem-xe-hoi-gia-8-ty-can-pr39932457,66.0,1,0,0
180,39203598,56.0,6800.0,3.0,3.0,3.0,4 m,1,1,106.7181426,10.7934516,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-huu-canh-phuong-22/-dep-xinh-hem-4m-gan-cong-vien-vinhomes-central-park-gia-6ty8-pr39203598,66.0,0,0,0
199,39716122,39.6,5300.0,3.0,3.0,2.0,,1,1,106.686137,10.8089559,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-5-14/ban-gap-trung-tam-sai-gon-39m2-2-lau-5-3-ty-p5-binh-thanh-pr39716122,66.0,1,0,0
202,39924681,80.0,8700.0,3.0,5.0,6.0,,1,1,106.6898257,10.8135529,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-11-7/ban-mat-tien-hem-8m-p11-quan-binh-thanh-4m-x-20m-3-tang-gia-8-7-ty-tl-pr39924681,66.0,0,0,0
204,39924333,46.0,2860.0,3.0,4.0,4.0,4 m,1,1,106.7134492,10.8106097,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-26/ban-nghetinh-hem-oto-46m2-gia-chot-2-ty-860-phap-ly-day-du-o-hoac-kinh-doanh-cho-thue-pr39924333,66.0,0,0,0
211,39922033,65.2,3750.0,2.0,3.0,2.0,"4,3 m",1,1,106.6967678,10.8129255,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-12-7/nhinh-3-ty-2-tang-btct-65m2-binh-thanh-2-mat-hem-pr39922033,66.0,0,0,0
225,39888950,81.0,18630.0,3.0,4.0,5.0,"4,5 m",1,1,106.7055224,10.7939773,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-han-phuong-17-1/ban-chinh-chu-81m2-khu-dan-cu-cao-cap-17-binh-th-pr39888950,66.0,0,0,0
226,38177322,85.0,12000.0,,,,"3,8 m",0,1,106.7000078,10.802338,https://batdongsan.com.vn/ban-nha-rieng-duong-vo-truong-toan-phuong-2-20/chinh-chu-ban-ngay-cho-ba-chieu-khong-tiep-quang-cao-pr38177322,66.0,1,1,0
234,39911875,65.0,10000.0,3.0,4.0,3.0,,1,1,106.7192368,10.8020983,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-thuong-phuong-25/ban-hem-xe-hoi-p-25-binh-thanh-3-tang-4x16m-gia-10-ty-pr39911875,66.0,0,0,0
238,39637449,55.0,10000.0,4.0,6.0,6.0,"4,5 m",1,1,106.6963209,10.8056327,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-huy-luong_1-phuong-14-7/ban-4-lau-sieu-dep-can-goc-hxh-luong-binh-thanh-dt-4-5-x13m-gia-ban-10-ty-pr39637449,66.0,1,1,0
258,39897918,100.0,8900.0,1.0,2.0,1.0,"1,5 m",1,1,106.690409549213,10.8103969682441,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-dau-phuong-7-9/hay-chop-ngay-co-hoi-mua-hiem-khang-trang-100m2-ngay-trung-tam-binh-thanh-phu-nhuan-pr39897918,66.0,1,1,0
270,39894520,115.0,8500.0,1.0,3.0,1.0,"8,5 m",1,1,106.6952449,10.8122477,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-tri-phuong-12-7/chinh-chu-ban-gap-115m2-giua-binh-thanh-ngang-8m-dai-14m-nhin-70tr-m2-pr39894520,66.0,1,1,0
273,39893817,72.0,10500.0,4.0,8.0,8.0,4 m,1,1,106.7077763,10.8152919,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-xi-phuong-26/thu-nhap-45tr-thang-chdv-gan-vincom-4-tam-4x18m-hem-tai-8m-thong-ban-co-10-x-ty-tl-pr39893817,66.0,0,0,0
275,39893669,60.0,7500.0,2.0,3.0,3.0,4 m,1,1,106.6952001,10.8159197,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-tri-phuong-11-7/san-hdt-20tr-thang-ngay-emart-2-tang-4x15m-hem-xe-tai-8m-chi-7-x-ty-tl-pr39893669,66.0,1,0,0
276,39893920,116.0,10900.0,2.0,,,4 m,0,0,106.7049832,10.7978161,https://batdongsan.com.vn/ban-nha-rieng-duong-dien-bien-phu-phuong-15-5/-1-tret-1-lau-4x29m-ket-cau-21-giuong-cho-thue-2-trieu-1-giuong-gia-10-9-ty-can-ban-nhanh-pr39893920,66.0,0,0,0
281,39886542,158.0,16800.0,5.0,18.0,18.0,11 m,0,1,106.6967678,10.8129255,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-12-7/ban-hxh-binh-thanh-5-tang-158m-chdv-18-phong-thu-100-thang-chi-16-8-ty-tl-pr39886542,66.0,1,1,0
311,38698042,56.0,3150.0,3.0,4.0,4.0,4 m,0,1,106.6971498,10.8061295,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-14-7/chu-dang-ket-von-ban-gap-binh-thanh-56m2-gia-chi-2-ty-5-hem-xe-hoi-6m-2-lau-pr38698042,66.0,1,1,0
317,38716822,49.0,1490.0,2.0,2.0,2.0,4 m,0,1,106.7163905,10.8032566,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-gia-tri-phuong-25/ket-von-nen-can-ban-gap-hem-6m-binh-thanh-gan-dh-hutech-49m2-1-ty-350-pr38716822,66.0,0,0,0
324,39459147,29.7,5300.0,4.0,4.0,3.0,,1,1,106.6905402,10.8060688,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-7-9/-ngop-can-ban-hem-xe-hoi-quay-dau-truoc-tang-full-noi-that-gia-chi-3-5-ty-lh-ngay-pr39459147,66.0,0,0,0
325,39682770,37.0,5800.0,2.0,,,,1,1,106.7108591,10.7979349,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-21/thanh-ly-binh-thanh-gia-3-8-ty-so-1-tret-1-lau-dien-tich-37m2-pr39682770,66.0,0,0,0
326,39955453,33.0,5700.0,,,,,1,1,106.701921,10.8109281,https://batdongsan.com.vn/ban-nha-rieng-duong-chu-van-an-phuong-12-7/b-dg-cho-thue-nguyen-c-16tr-thg-tai-binh-thh-dt-33m2-so-s-gia-5-7-ty-pr39955453,66.0,0,0,0
341,39740292,52.0,7500.0,2.0,2.0,2.0,,1,1,106.7029235,10.8077791,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-dinh-tuy-phuong-12-7/binh-thanh-dep-hem-oto-52m2-gia-chi-7x-ty-x-tieu-hoc-pr39740292,66.0,0,0,0
345,39957477,55.4,3220.0,3.0,2.0,4.0,,1,1,106.6883229,10.8123531,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-binh-trong-phuong-5-14/ban-p5-thanh-gan-truong-tieu-hoc-nguyen-hien-gia-3ty220-55-4m2-pr39957477,66.0,0,0,0
346,39492689,48.0,4800.0,3.0,4.0,4.0,5 m,1,1,106.6897386,10.8140011,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-5-14/-dep-hxh-gia-nhinh-hon-3-ty-mt-5-binh-thanh-1-tret-2-lau-4-pn-4-wc-pr39492689,66.0,1,1,0
349,39492896,45.0,4500.0,3.0,2.0,3.0,5 m,1,1,106.6967678,10.8129255,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-12-7/-dang-cho-thue-17tr-thang-ban-nhanh-chi-2-7-ty-12-binh-thanh-1t-2l-pr39492896,66.0,0,0,0
350,39592330,40.0,5500.0,3.0,3.0,5.0,5 m,1,1,106.7029235,10.8077791,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-dinh-tuy-phuong-12-7/-dep-chau-au-hxh-7m-gia-3-5-ty-mt-5-binh-thanh-so-hong-hoan-cong-pr39592330,66.0,0,0,0
358,39957437,56.0,2300.0,,,,,0,1,106.70365842527004,10.80783179262453,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-dinh-tuy-phuong-12-7/ban-p12-binh-thanh-hem-xe-hoi-4x14-gia-chi-2-ty-3-shr-pr39957437,66.0,1,0,0
366,39957411,70.0,7000.0,2.0,3.0,2.0,"5,2 m",1,1,106.71977228518064,10.813656402365222,https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-da-phuong-27/hem-oto-7-cho-5-2-x-12-view-song-2-tang-binh-7-ty-pr39957411,66.0,0,0,0
388,39647406,69.2,2850.0,5.0,8.0,8.0,4 m,1,1,106.6975859,10.8139665,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-11-7/hang-ngop-70m2-gia-3-ty-150-trieu-binh-thanh-dang-cho-thue-chdv-60tr-thang-pr39647406,66.0,0,0,1
401,39160252,61.4,2900.0,,4.0,,,0,1,106.6880217,10.8082236,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-dau-phuong-6-13/loc-nam-gia-tot-3ty550-61-4m2-p6-binh-thanh-pr39160252,66.0,0,0,0
402,39786288,85.0,11500.0,,,,"4,5 m",0,1,106.716012,10.7919266,https://batdongsan.com.vn/ban-nha-rieng-duong-vo-duy-ninh-phuong-22/can-tien-ban-gap-dat-hxh-hem-117-nguyen-huu-canh-pr39786288,66.0,0,0,0
413,39956992,29.0,4500.0,2.0,2.0,2.0,,1,1,106.686137,10.8089559,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-5-14/-4-55-ty-ban-moi-100-p-5-3-1-x-8-no-hau-phong-thuy-lh-pr39956992,66.0,1,0,0
420,38539357,34.6,1630.0,3.0,4.0,3.0,3 m,0,1,106.6950452,10.8069771,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-7-9/ban-gap-p7-binh-thanh-gia-2-ty-2-dien-tich-34m2-so-lh-pr38539357,66.0,0,0,0
424,39957177,69.7,2800.0,2.0,4.0,4.0,,1,1,106.6930177,10.8181332,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-hong-phuong-17-1/ban-ngang-lon-5m-p17-binh-thanh-gia-2-ty-8-dt-69-7m2-gan-cong-vien-pr39957177,66.0,0,0,0
429,39956873,35.0,3850.0,2.0,2.0,2.0,,1,1,106.6975859,10.8139665,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-11-7/ban-265-23-5-binh-thanh-gia-3-ty-850-pr39956873,66.0,1,1,0
430,39941002,60.0,,3.0,3.0,2.0,5 m,1,1,106.700987591263,10.8110809069821,https://batdongsan.com.vn/ban-nha-rieng-duong-chu-van-an-phuong-12-7/ban-hem-thong-3-pn-2-wc-so-hong-phap-ly-chuan-tang-lai-noi-that-nhu-trong-hinh-pr39941002,66.0,0,0,0
433,37443805,52.0,3200.0,3.0,4.0,3.0,"4,3 m",1,1,106.6929528,10.8095223,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-7-9/sieu-pham-moi-dep-p-7-binh-thanh-hxh-chu-tang-noi-that-cao-cap-pr37443805,66.0,1,0,0
447,39612438,66.0,8450.0,3.0,4.0,4.0,4 m,1,1,106.7026565,10.8195166,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-13-7/hxh-cach-mat-tien-10m-cn-66-1m2-hau-3-tang-4pn-4wc-da-hoan-cong-pr39612438,66.0,0,0,0
455,39957139,80.0,9500.0,2.0,2.0,2.0,,1,1,106.6898257,10.8135529,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-11-7/-c4-tien-xay-moi-hem-2-xe-hoi-ne-nhau-4x20m-no-hau-khu-cao-tang-tien-xay-chdv-pr39957139,66.0,0,0,0
471,39957086,76.0,9500.0,1.0,2.0,2.0,,1,1,106.6950452,10.8069771,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-7-9/nhinh-100tr-m2-hem-xe-7-cho-do-truoc-4-3x18m-hau-deu-gpxd-tret-lung-3-lau-st-pr39957086,66.0,0,0,0
483,38893714,38.0,1850.0,2.0,2.0,2.0,,1,1,106.6999764,10.8013938,https://batdongsan.com.vn/ban-nha-rieng-duong-vu-tung-phuong-2-20/co-tu-ngop-von-ban-lo-gia-2-ty-150-trieu-2-binh-thanh-cho-thue-10tr-thang-pr38893714,66.0,1,1,0
486,39665345,81.0,10500.0,2.0,,,,0,0,106.7115596,10.8061229,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-25/ban-noi-bo-p-25-binh-thanh-4-2m-x-21-20m-1-tret-1-lau-gia-10-5ty-tl-pr39665345,66.0,0,0,0
495,39828317,34.41,3500.0,2.0,2.0,2.0,,1,1,106.6975859,10.8139665,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-11-7/ban-gap-tran-quy-cap-p-11-34m2-chi-3-5-ty-tl-lh-pr39828317,66.0,0,0,0
496,39957021,77.4,4150.0,,,,,0,1,106.6925044,10.8119746,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-dau-phuong-11-7/sieu-pham-dep-ngay-binh-thanh-gia-4-15ty-77-4m2-4-3x18m-4pn-4wc-dang-kd-20trieu-pr39957021,66.0,0,0,0
497,39890931,43.0,2400.0,3.0,3.0,4.0,,0,1,106.6879064,10.8084246,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-6-13/co-thu-ket-von-kd-gui-ban-gap-hem-xe-hoi-binh-thanh-43m2-so-gia-2-5-ty-pr39890931,66.0,1,1,0
500,39890749,58.0,2300.0,2.0,2.0,3.0,,1,1,106.6929528,10.8095223,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-7-9/gap-lam-roi-ban-sieu-gap-hem-xe-hoi-binh-thanh-so-60m2-gia-chi-3-4-ty-pr39890749,66.0,1,0,0
501,39924205,80.0,2700.0,3.0,4.0,5.0,,0,1,106.7077763,10.8152919,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-xi-phuong-26/sieu-hiem-ban-gap-chinh-chu-gan-vincom-binh-thanh-5x16m-gia-chi-2-ty-9-so-rieng-pr39924205,66.0,0,0,0
504,39614730,63.5,9000.0,5.0,5.0,6.0,,1,1,106.7188061,10.8070065,https://batdongsan.com.vn/ban-nha-rieng-duong-ung-van-khiem-phuong-25/ban-gap-p-25-binh-thanh-dt-4-15-63-5m2-5tang-5pn-6wc-moi-keng-xa-beng-nhinh-9ty-pr39614730,66.0,0,0,0
507,39956989,40.0,6390.0,5.0,2.0,2.0,,1,1,106.6898257,10.8135529,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-11-7/nhinh-6ty-ngop-bank-chu-gap-ban-dep-binh-thanh-4x10-5-tang-btct-20m-ra-hxh-pr39956989,66.0,1,1,0
511,39956659,112.0,12000.0,3.0,10.0,10.0,"4,8 m",1,1,106.6898257,10.8135529,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dinh-phuong-11-7/hxh-7-cho-binh-thanh-112m2-3-tang-10-pn-cho-thue-gan-50tr-th-chi-12-ty-tl-pr39956659,66.0,0,0,0
516,39956602,63.02,3380.0,2.0,4.0,5.0,,0,1,106.7174621,10.8040718,https://batdongsan.com.vn/ban-nha-rieng-duong-vo-oanh-phuong-25/co-chin-ban-can-hem-oto-6m-p25-bt-gia-3ty38-63-02m2-4-6x13-7-ngay-dh-gtvt-thue-23tr-th-pr39956602,66.0,0,0,0
539,39614785,90.0,15500.0,2.0,,,"6,2 m",1,1,106.7188061,10.8070065,https://batdongsan.com.vn/ban-nha-rieng-duong-ung-van-khiem-phuong-25/ban-hiem-ngang-be-the-6-2m-no-hau-10-5m-doi-dien-truong-dh-hutech-pr39614785,66.0,0,0,0
557,39811828,68.0,14500.0,4.0,4.0,5.0,,0,1,106.7118828,10.7926464,https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-tat-to-phuong-19/ban-hxh-q-binh-thanh-khu-vip-lo-goc-sat-q1-4-tang-dt-4m-x17-m-hd-thue-350tr-nam-pr39811828,66.0,0,0,0
561,39556344,60.0,2550.0,,3.0,4.0,5 m,1,1,106.7026103,10.8299749,https://batdongsan.com.vn/ban-nha-rieng-duong-dang-thuy-tram-phuong-13-7/can-ban-hxh-p13-binh-thanh-vuong-vuc-80m2-so-sach-dep-gia-2ty5-lh-pr39556344,66.0,0,0,0
569,39593671,720.0,55000.0,1.0,1.0,1.0,4 m,0,1,106.6967678,10.8129255,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-12-7/chinh-chu-gui-ban-c4-mt-p12bt-ngang-4-2m-dai-70m-hau-gia-tot-dau-tu-pr39593671,66.0,0,0,0
571,39925900,85.0,15800.0,4.0,4.0,5.0,5 m,1,1,106.7026103,10.8299749,https://batdongsan.com.vn/ban-nha-rieng-duong-dang-thuy-tram-phuong-13-7/hang-hiem-5x17m-ham-4-tang-mat-tien-kinh-doanh-face-to-face-dh-van-lang-pr39925900,66.0,0,0,0
573,39956758,65.6,3490.0,3.0,4.0,5.0,,1,1,106.6963209,10.8056327,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-huy-luong_1-phuong-14-7/lam-an-thua-lo-can-ban-mt-luong-p-14-binh-thanh-gia-3ty490-65-6m2-3lau-4pn-sh-pr39956758,66.0,0,1,0
575,39912085,80.0,9000.0,3.0,4.0,4.0,4 m,1,1,106.7029235,10.8077791,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-dinh-tuy-phuong-12-7/ban-can-4x20m-hem-vip-cu-xa-cong-an-thong-xe-hoi-gia-chi-9-ty-tl-pr39912085,66.0,1,0,0
581,39930063,150.0,23000.0,4.0,5.0,6.0,8 m,1,1,106.701921,10.8109281,https://batdongsan.com.vn/ban-nha-rieng-duong-chu-van-an-phuong-12-7/giam-2-ty-biet-thu-cu-xa-8x18m-ngay-trung-tam-binh-thh-12m-thong-thog-pr39930063,66.0,1,0,0
585,39956740,68.0,4500.0,3.0,3.0,3.0,,1,1,106.6942961,10.8154641,https://batdongsan.com.vn/ban-nha-rieng-duong-mai-xuan-thuong-phuong-11-7/cuc-pham-thang-5-ngop-11-binh-thanh-gia-4-5-ty-68m2-tang-noi-that-pr39956740,66.0,0,0,0
597,37780701,60.0,2680.0,3.0,3.0,4.0,,0,1,106.6905402,10.8060688,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-7-9/n-ngay-mt-binh-thanh-chi-2-24ty-so-dep-kc-1tret-2lau-1st-3pn-gan-benh-vien-cv-pr37780701,66.0,1,1,0
601,39911291,64.0,10800.0,4.0,4.0,4.0,4 m,1,1,106.7163905,10.8032566,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-gia-tri-phuong-25/ban-can-d2-4x16m-8m-hem-sieu-vip-canh-dh-hutech-dh-ngoai-thuong-pr39911291,66.0,0,1,0
614,39819408,62.0,2990.0,3.0,5.0,5.0,"4,85 m",1,1,106.7091136,10.81159,https://batdongsan.com.vn/ban-nha-rieng-duong-dinh-bo-linh-phuong-26/-re-binh-thanh-co-shr-ban-gap-p26-62m2-gia-re-2-ty-550tr-co-ngay-shr-pr39819408,66.0,0,0,0
618,39829052,50.0,2330.0,4.0,5.0,4.0,4 m,1,1,106.6924455,10.8006807,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-lam-phuong-3-19/-gia-re-binh-thanh-hem-thong-xe-hoi-d-p3-50m2-gia-2-ty-190tr-co-shr-pr39829052,66.0,1,0,1
627,39892988,86.0,9490.0,3.0,8.0,8.0,4 m,1,1,106.6841423,10.8081516,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thuong-hien-phuong-6-13/ban-3-tang-chdv-8-phong-86m2-ngang-4m-no-hau-6-5m-x-15m-bot-loc-pr39892988,66.0,0,0,0
631,36723578,90.0,3900.0,4.0,5.0,5.0,8 m,0,1,106.7077763,10.8152919,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-xi-phuong-26/ban-gap-trong-thang-can-1-sec-duong-binh-thanh-gia-3-ty-950-4-lau-noi-that-cao-cap-pr36723578,66.0,0,0,0
632,39788057,51.0,4150.0,3.0,4.0,3.0,,0,1,106.69803137116,10.7986656981162,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-duyet-phuong-1-20/dinh-cu-nuoc-ngoai-can-ban-nh-p1-binh-thanh-dt-5-1-x-10m-gia-ban-4-ty-280-pr39788057,66.0,1,1,0
637,39865972,57.1,2850.0,4.0,5.0,4.0,5 m,1,1,106.6966183,10.8090094,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-tri-phuong-14-7/vo-chong-em-co-y-dinh-lam-an-nen-ban-binh-thanh-p14-pvt-57-1m2-gia-2-ty-600tr-co-shr-pr39865972,66.0,0,0,0
651,39826745,58.5,3310.0,4.0,4.0,3.0,"4,5 m",0,0,106.6883229,10.8123531,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-binh-trong-phuong-5-14/-p5-thanh-gia-3ty440-58-5m2-gan-truong-tieu-hoc-nguyen-thuong-hien-pr39826745,66.0,0,0,0
658,39923960,72.0,9690.0,4.0,8.0,8.0,4 m,0,1,106.7192368,10.8020983,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-thuong-phuong-25/ban-d1-binh-thanh-66m2-mt-hem-kinh-doanh-hon-9-ty-luong-chu-pr39923960,66.0,0,0,0
