Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
9,39956493,51.6,4800.0,2.0,4.0,4.0,,1,1,106.6498035,10.7915407,https://batdongsan.com.vn/ban-nha-rieng-duong-nam-chau-phuong-12-10/ban-dep-trong-thang-hxh-5m-113-p12-q-tan-binh-dt-4-3x12m-51-6m2-1t-2l-gia-4ty8-pr39956493,69.0,1,0,0
11,39955362,52.0,4950.0,3.0,3.0,3.0,5 m,0,0,106.6628347,10.793765,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-hai-phuong-3-22/ban-gap-2-mat-tien-trung-tam-tan-binh-cach-san-bay-2-pr39955362,69.0,1,0,0
12,39820487,76.0,2750.0,3.0,4.0,4.0,5 m,1,1,106.6666774,10.8002967,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thu-phuong-8-14/ban-gap-hem-xe-hoi-quan-tan-binh-dt-76m2-gia-2ty750-shr-pr39820487,69.0,0,0,0
14,39952925,75.0,,2.0,4.0,5.0,,1,1,106.6535135,10.7815875,https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-my-phuong-8-14/chinh-chu-ban-gap-55-p8-tan-binh-75m2-2-ty550-shr-dang-cho-thue-15tr-th-pr39952925,69.0,0,0,0
22,39949043,64.0,4200.0,,5.0,4.0,,1,1,106.6682118,10.8059195,https://batdongsan.com.vn/ban-nha-rieng-duong-pho-quang-phuong-2-22/re-t-sai-gon-sat-mat-tien-p2-tan-binh-gia-ban-4ty2-64m2-lh-pr39949043,69.0,0,0,0
27,39934171,69.9,6600.0,,3.0,,,0,0,106.64790090802484,10.782552198743454,https://batdongsan.com.vn/ban-nha-rieng-phuong-10-10/-mot-sec-ra-lac-long-quan-7-4-toi-ha-con-6-6-toi-khong-mua-qua-tiec-pr39934171,69.0,1,0,0
36,39922698,120.0,17500.0,3.0,,,"6,6 m",1,1,106.6883684,10.8081641,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-12-10/ban-gap-khu-k300-sieu-vip-tan-binh-120m2-6-6x17-3-lau-tang-noi-that-chi-17-5-ty-pr39922698,69.0,0,0,0
53,39885033,150.0,24000.0,,,,5 m,0,0,106.6440563,10.7497114,https://batdongsan.com.vn/ban-nha-rieng-duong-hau-giang-phuong-4-20/chinh-chu-can-ban-4-tan-binh-5x30m-dep-co-san-truoc-pr39885033,69.0,1,0,0
55,39942997,115.0,17800.0,3.0,5.0,4.0,"6,6 m",1,1,106.6883684,10.8081641,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-12-10/cuc-gap-ban-khu-k300-tan-binh-115m2-3-tang-n-cong-du-17-tyx-thuong-luong-manh-pr39942997,69.0,0,0,0
62,39956016,56.0,8200.0,3.0,4.0,4.0,,1,1,106.6583893,10.797861,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thu-phuong-4-20/ban-4m-x-14m-1-tret-2-lau-mat-hem-xe-hoi-238-4-tb-hem-thong-pr39956016,69.0,0,0,0
74,39953493,40.0,5900.0,2.0,2.0,2.0,"6,2 m",0,1,106.6404758,10.7957401,https://batdongsan.com.vn/ban-nha-rieng-duong-ba-van-phuong-14-10/n-2-can-mtnb-8m-truong-chinh-6-2x12m-3-tang-6-3x6-2m-2-tang-lau-pr39953493,69.0,0,0,0
75,39953410,37.4,2890.0,3.0,4.0,5.0,,0,1,106.6584266,10.7830308,https://batdongsan.com.vn/ban-nha-rieng-duong-dat-thanh_1-phuong-6-15/gia-tot-2ty890tr-cho-khach-dau-tu-thanh-p6-q-tan-binh-dt-37-4m2-dang-cho-thue-16tr-thang-pr39953410,69.0,0,0,0
77,39953164,87.0,2270.0,2.0,4.0,4.0,,0,0,106.6621323,10.7849706,https://batdongsan.com.vn/ban-nha-rieng-duong-chan-hung-phuong-6-15/gia-chu-can-ban-nh-p-6-tan-binh-dt-87m2-2ty270-thue-18tr-thang-so-day-du-pr39953164,69.0,0,0,0
95,39949798,40.0,7500.0,5.0,5.0,3.0,,0,0,106.6408353,10.7956226,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-cong-dinh-phuong-14-10/ban-dep-hxh-p14-ngay-cc-the-harmona-5-tang-gia-7-5-ty-thuong-luong-pr39949798,69.0,0,0,0
99,39455611,47.6,2550.0,4.0,5.0,3.0,"3,95 m",1,1,106.6729415,10.8150439,https://batdongsan.com.vn/ban-nha-rieng-duong-bach-dang-phuong-2-22/ban-gap-pho-p2-tan-binh-cho-thue-15tr-thang-dt-47m2-gia-3-5ty-lh-my-pr39455611,69.0,0,0,0
103,39948220,73.0,10200.0,3.0,3.0,3.0,4 m,1,1,106.6476234,10.7929024,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-mai-ninh-phuong-12-10/2-mat-tien-tan-binh-12-trung-lang-3-tang-73m2-gia-chi-10-2-ty-pr39948220,69.0,0,0,0
120,39946174,100.0,14500.0,2.0,3.0,3.0,,1,1,106.6564295,10.8010683,https://batdongsan.com.vn/ban-nha-rieng-duong-cong-hoa-phuong-4-20/ban-dt-5-6x20-3-lau-hem-8m-thong-gia-14-5-ty-khu-san-bay-p4-tan-binh-pr39946174,69.0,0,0,0
124,39498472,50.0,5200.0,5.0,3.0,5.0,,1,1,106.6323608,10.8143723,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-chinh-phuong-15-8/ban-sieu-dep-tang-noi-that-xin-so-ngay-dau-va-phan-huy-ich-pr39498472,69.0,0,0,0
125,39945171,56.0,7570.0,,,,,0,1,106.6330059,10.8303911,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-huy-ich-phuong-15-8/ban-moi-xay-thiet-ke-hoan-hao-khong-gian-song-ly-tuong-pr39945171,69.0,0,0,0
132,39943057,55.0,7200.0,,,,,0,0,106.6484496,10.7955211,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-chinh-phuong-12-10/ban-55m2-mt-hem-q-tan-binh-nhinh-7ty-thuong-luong-ngay-kinh-doanh-thuan-loi-pr39943057,69.0,0,0,0
141,39903813,70.0,7000.0,3.0,3.0,,"4,05 m",1,1,106.6416742,10.8024377,https://batdongsan.com.vn/ban-nha-rieng-duong-cong-hoa-phuong-13-10/ban-ngang-6m-hxh-dong-xoai-ke-tan-binh-90m2-12-ty-pr39903813,69.0,0,0,0
154,39937380,130.0,14300.0,5.0,4.0,6.0,"4,5 m",1,1,106.6653958,10.7923478,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-thi-xuan-phuong-5-17/ban-hem-xe-hoi-tan-binh-5-tang-dt5-1-x27m-pr39937380,69.0,0,0,0
161,39731453,42.9,8600.0,4.0,4.0,3.0,,0,1,106.6575005,10.7907,https://batdongsan.com.vn/ban-nha-rieng-duong-cach-mang-thang-tam-phuong-7-12/ban-pho-dt-42-9m2-dtxd-1tret-1lung-3lau-tai-quan-tan-binh-gia-chi-9-7-ty-pr39731453,69.0,0,1,0
171,39932679,66.0,7380.0,,,,,0,0,106.6434366,10.7920653,https://batdongsan.com.vn/ban-nha-rieng-duong-bau-cat-phuong-14-10/sieu-pham-khach-hang-mong-doi-6-bds-can-goc-dong-den-k300-pr39932679,69.0,0,0,0
178,39256205,20.0,3400.0,4.0,2.0,3.0,4 m,1,1,106.647266,10.7796458,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-van-quang-phuong-10-10/chinh-chu-ban-nho-cao-tang-co-1-khong-2-quan-tan-binh-pr39256205,69.0,0,0,0
184,39916209,53.0,11800.0,3.0,5.0,4.0,,0,1,106.6619084,10.791296,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-hai-phuong-5-17/tieu-de-chinh-chu-ha-gia-ban-con-11-8-ty-3-tang-hem-xe-hoi-tai-quan-tan-binh-pr39916209,69.0,1,0,0
195,39926442,48.0,2560.0,2.0,2.0,2.0,,1,1,106.6482665,10.7965636,https://batdongsan.com.vn/ban-nha-rieng-duong-thep-moi-phuong-12-10/chinh-chu-ban-12-tan-binh-gia-chot-2ty560-pr39926442,69.0,1,0,0
206,39923061,190.0,16000.0,1.0,,,"6,5 m",0,0,106.6729415,10.8150439,https://batdongsan.com.vn/ban-nha-rieng-duong-bach-dang-phuong-2-22/chinh-chu-ban-hem-o-to-tan-binh-ngay-san-bay-tan-son-t-190-m2-gia-16-ty-pr39923061,69.0,0,0,0
209,39922176,40.0,5550.0,4.0,6.0,3.0,4 m,1,1,106.644477242081,10.782393506129,https://batdongsan.com.vn/ban-nha-rieng-duong-au-co-phuong-10-10/ban-572-19-p-10-tan-binh-lh-pr39922176,69.0,1,0,0
220,39703397,44.6,7000.0,1.0,1.0,1.0,"5,75 m",1,1,106.6612531,10.7887218,https://batdongsan.com.vn/ban-nha-rieng-duong-cach-mang-thang-tam-phuong-5-17/gap-giam-500tr-ban-hem-kd-6m-766-cmt8-tb-dt-5-75x8-4m-gpxd-5-tang-khu-vip-sang-trong-pr39703397,69.0,0,0,0
221,39911880,29.0,5600.0,3.0,2.0,3.0,"4,5 m",1,1,106.6498408,10.7777979,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-9-13/-sieu-dep-q-tan-binh-xd-1-tret-1-lung-2-lau-1-san-thuong-gia-5-6-ty-shr-pr39911880,69.0,1,0,0
231,39913796,46.0,7200.0,4.0,3.0,3.0,,0,1,106.6886078,10.7699949,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-thi-xuan-phuong-3-22/ha-sau-ban-4-tang-hxh-46m2-nt-cao-cap-nhich-7-ty-pr39913796,69.0,0,0,0
254,39125181,75.0,7900.0,4.0,5.0,6.0,5 m,1,1,106.6941511,10.7701653,https://batdongsan.com.vn/ban-nha-rieng-duong-le-lai-phuong-12-10/gap-ban-hem-dong-den-p12-quan-tan-binh-dt-5x15-tret-3-lau-st-6-pn-7wc-gia-8-ty-tl-pr39125181,69.0,0,0,0
256,38306117,110.0,13500.0,5.0,,,7 m,0,0,106.6530498,10.7965721,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thai-binh-phuong-12-10/ban-biet-thu-p12-tan-dt-7-x14-4-lau-gia-13-5-tl-pr38306117,69.0,0,0,0
264,39896682,62.0,15000.0,6.0,7.0,7.0,4 m,1,1,106.6612531,10.7887218,https://batdongsan.com.vn/ban-nha-rieng-duong-cach-mang-thang-tam-phuong-5-17/2-mat-hem-8m-xe-tai-thong-8-giap-q-3-62m2-4x16-6tang-tien-vua-o-vua-kinh-doanh-pr39896682,69.0,0,1,0
269,39895611,52.0,7200.0,2.0,2.0,2.0,,0,0,106.6605983,10.76124,https://batdongsan.com.vn/ban-nha-rieng-pho-ly-thuong-kiet-phuong-9-13/ban-hem-6m-kinh-doanh-dong-tien-52m2-chi-7-2-ty-pr39895611,69.0,1,0,0
277,39892772,80.0,9000.0,2.0,6.0,2.0,,0,1,106.642353,10.7937409,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-hong-dao-phuong-14-10/chinh-chu-can-ban-so-26-8-14-quan-tan-binh-tp-hcm-lh-pr39892772,69.0,1,0,0
288,38072440,77.0,3800.0,1.0,2.0,1.0,6 m,1,1,106.647266,10.7796458,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-van-quang-phuong-10-10/-quan-tan-binh-80m2-2-phong-ngu-phong-thuy-tot-khu-an-ninh-pr38072440,69.0,1,0,0
305,39554278,80.0,11500.0,,,,,1,1,106.6886078,10.7699949,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-thi-xuan-phuong-2-22/mat-tien-kinh-doanh-khong-co-cai-thu2-quan-tan-binh-320m2-4tang-duc-btct-13ty-pr39554278,69.0,0,0,0
340,39957500,42.0,2250.0,3.0,4.0,4.0,,1,1,106.6679186,10.8001271,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thu-phuong-2-22/gia-re-nhat-thi-truong-42m2-gia-2-ty-250-trieu-2-tan-binh-cho-e-15tr-th-pr39957500,69.0,0,0,0
351,39745145,90.0,14000.0,2.0,3.0,2.0,4 m,1,1,106.6404758,10.7957401,https://batdongsan.com.vn/ban-nha-rieng-duong-ba-van-phuong-14-10/n-tret-lau-p-14-quan-tan-binh-pr39745145,69.0,1,0,0
353,39916460,82.5,5300.0,2.0,4.0,3.0,"4,05 m",0,1,106.6380643,10.8300102,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-van-nghe-phuong-15-8/qua-re-ban-chinh-chu-82-5m2-tret-lau-gia-5-3-ty-tl-lh-pr39916460,69.0,0,0,0
360,39957430,44.0,7500.0,4.0,3.0,4.0,4 m,1,1,106.647266,10.7796458,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-van-quang-phuong-10-10/xe-hoi-ngu-trong-p10-tan-binh-44m2-cn-du-4-tang-xin-dep-gia-7-5ty-tl-pr39957430,69.0,1,0,0
362,39916154,80.0,7000.0,2.0,,,,0,0,106.6416742,10.8024377,https://batdongsan.com.vn/ban-nha-rieng-duong-cong-hoa-phuong-13-10/ban-dat-tang-hxh-tan-binh-80m2-7ty-pr39916154,69.0,0,0,0
363,39921443,35.0,,2.0,2.0,,"5,3 m",0,1,106.647266,10.7796458,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-van-quang-phuong-10-10/ban-vi-tri-dep-p10-tan-binh-35m2-2ty180trieu-pr39921443,69.0,1,0,0
367,38986564,106.0,16500.0,5.0,5.0,6.0,,1,1,106.642353,10.7937409,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-hong-dao-phuong-14-10/-chinh-chu-can-ban-gap-can-tan-binh-5-3x20m-moi-5-tang-thang-may-pr38986564,69.0,0,0,1
368,37888730,81.0,15500.0,4.0,5.0,,"4,5 m",1,1,106.6564295,10.8010683,https://batdongsan.com.vn/ban-nha-rieng-duong-cong-hoa-phuong-4-20/can-tien-kinh-doanh-ban-gap-mat-tien-hem-8m-4-tan-binh-4-5x20m-3-lau-16-3-ty-pr37888730,69.0,0,0,0
369,39757604,63.02,3160.0,2.0,4.0,5.0,,0,1,106.6573677,10.7949195,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-dinh-khoi-phuong-4-20/-p4-t-binh-gia-3ty3-63-02m2-4-6x13-7-cho-thue-21tr-th-ngay-cd-ly-tu-trong-pr39757604,69.0,0,0,0
370,39697509,90.0,11000.0,4.0,5.0,6.0,6 m,1,1,106.6461444,10.8006053,https://batdongsan.com.vn/ban-nha-rieng-duong-dong-xoai-phuong-13-10/-hot-ban-gap-hem-xe-tai-k300-13-quan-tan-binh-6x15m-moi-4-tang-dep-gia-11-ty-tl-pr39697509,69.0,1,0,0
372,38008791,119.0,11500.0,2.0,3.0,2.0,,1,1,106.6451224,10.7912275,https://batdongsan.com.vn/ban-nha-rieng-duong-bau-cat-phuong-11-10/ngop-bank-can-ban-gap-doi-f11-quan-tan-binh-5-2x23m-gia-12-ty-pr38008791,69.0,0,0,0
373,39619829,108.0,15000.0,4.0,,,,1,1,106.6411825,10.7994554,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-chinh-phuong-14-10/can-ban-gap-can-14-tan-binh-6x18m-tret-3-lau-san-thuong-gia-15-ty-pr39619829,69.0,1,0,0
374,39567753,62.0,3600.0,3.0,4.0,5.0,"4,5 m",1,1,106.6476234,10.7929024,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-mai-ninh-phuong-12-10/gia-chao-moi-5ty1dt62m2-12-tan-binh-sat-mat-tien-truong-trinh-pr39567753,69.0,0,0,0
375,39255843,90.0,15500.0,4.0,4.0,5.0,"4,5 m",1,1,106.6564295,10.8010683,https://batdongsan.com.vn/ban-nha-rieng-duong-cong-hoa-phuong-4-20/xuat-canh-ban-gap-can-8m-4-tan-binh-4-5x20m-moi-4-tang-gia-16-ty-tl-pr39255843,69.0,0,0,0
389,39870978,393.0,32000.0,1.0,,,,0,1,106.6330059,10.8303911,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-huy-ich-phuong-15-8/chi-81-4tr-m2-so-huu-ngay-393m2-520m2-2-mat-hem-15-tan-binh-pr39870978,69.0,0,0,0
391,39957348,42.0,2550.0,4.0,5.0,6.0,,1,1,106.6584266,10.7830308,https://batdongsan.com.vn/ban-nha-rieng-duong-dat-thanh_1-phuong-6-15/thu-hoi-von-ban-42m2-gia-2-ty-550-trieu-thanh-6-tan-binh-5-phong-ngu-so-rieng-pr39957348,69.0,0,0,0
404,39835300,70.0,10500.0,4.0,4.0,4.0,7 m,1,1,106.6583893,10.797861,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thu-phuong-4-20/chu-di-dinh-cu-ban-moi-4-tang-hxt-tan-binh-7mx10m-10-5-ty-ong-luong-pr39835300,69.0,0,0,0
405,39750430,90.0,16500.0,3.0,4.0,5.0,5 m,1,1,106.649789,10.8001156,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-minh-hoang-phuong-4-20/ban-3-tang-kien-co-khu-k300-tan-binh-dt-4-5x20m-gia-16-5-ty-pr39750430,69.0,1,0,0
407,39835553,44.0,8700.0,4.0,4.0,5.0,4 m,1,1,106.6395688,10.8050821,https://batdongsan.com.vn/ban-nha-rieng-duong-nhat-chi-mai-phuong-13-10/ket-tien-ban-gap-4-tang-khu-k200-t-tan-binh-4mx11m-8-5-ty-thuong-luong-pr39835553,69.0,0,0,0
431,39957162,100.0,21500.0,2.0,3.0,3.0,7 m,1,1,106.6584874,10.7975186,https://batdongsan.com.vn/ban-nha-rieng-duong-ut-tich_1-phuong-4-20/chinh-chu-gui-ban-can-goc-2mt-hem-xe-hoi-tich-p4-tan-binh-7-x-17-gia-21-5-ty-tl-pr39957162,69.0,0,0,0
440,39910021,73.0,27000.0,8.0,10.0,6.0,5 m,1,1,106.6713242,10.7980073,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-troi-phuong-1-23/hiem-hxh-cuc-sang-moi-dep-p1-q-tb-dt-4-8x18m-8-tang-hdt-95tr-gia-27-ty-tl-pr39910021,69.0,0,1,0
459,38805879,255.0,27000.0,,,,"9,5 m",0,0,106.6434366,10.7920653,https://batdongsan.com.vn/ban-nha-rieng-duong-bau-cat-phuong-14-10/27-ty-chi105tr-m2-so-huu-ngay-ngang-9-5x30m-cn-255m2-hxh-p-14-tan-binh-3-lau-pr38805879,69.0,0,0,0
473,39957083,40.0,5900.0,,,,,0,0,106.6411825,10.7994554,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-chinh-phuong-14-10/ban-nat-cuc-hiem-ngang-6m-hxh-40-m2-5-x-ty-pr39957083,69.0,0,0,0
503,39827499,28.0,3500.0,2.0,2.0,2.0,"3,8 m",1,1,106.6621263,10.7951498,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-bac-1-phuong-3-22/ban-nhag-hem-ba-gac-28m2-chinh-chu-tai-tan-binh-gia-3-5ty-lh-pr39827499,69.0,1,0,0
517,39904321,79.0,12500.0,4.0,5.0,4.0,,0,0,106.6404758,10.7957401,https://batdongsan.com.vn/ban-nha-rieng-duong-ba-van-phuong-14-10/n-79m2-4-lau-4-x19-gia-12-5-ty-14-tan-binh-khu-vip-u-cat-pr39904321,69.0,0,0,0
524,39595594,50.0,6000.0,3.0,,,5 m,1,1,106.6628347,10.793765,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-hai-phuong-3-22/chi-6ty-tl-ban-hem-xe-tai-kd-ngay-cho-tan-binh-5x10m-3-tang-cho-thue-11tr-th-pr39595594,69.0,1,0,0
526,39868780,58.5,2720.0,2.0,,,"4,5 m",1,1,106.6357391,10.8207714,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-sy-sach-phuong-15-8/ban-1tret-1lau-thich-hop-cho-co-chu-lon-tuoi-p15-tan-binh-gia-2ty750-58-5m2-pr39868780,69.0,0,0,0
544,39890741,77.5,8880.0,5.0,8.0,9.0,5 m,1,0,106.6729415,10.8150439,https://batdongsan.com.vn/ban-nha-rieng-duong-bach-dang-phuong-2-22/-ngo-77-5m2-p2-tan-binh-gia-8-ty-880tr-so-hem-xe-hoi-6m-hoan-hi-bot-loc-pr39890741,69.0,1,1,0
552,39944743,45.0,6000.0,2.0,3.0,3.0,"4,5 m",1,1,106.6511857,10.7885856,https://batdongsan.com.vn/ban-nha-rieng-duong-bay-hien-phuong-11-10/hang-hiem-ngop-bank-ban-gap-t-binh-dt-4-4x10m-44m2-gia-nhinh-chi-6t-tt-pr39944743,69.0,0,0,0
578,38641599,48.0,,3.0,4.0,4.0,4 m,1,1,106.6586046,10.7883527,https://batdongsan.com.vn/ban-nha-rieng-duong-banh-van-tran-phuong-7-12/chu-ngop-bank-ban-gap-hxh-1-tret-2-lau-p7-gan-cho-tan-binh-48m2-4-2-ty-pr38641599,69.0,1,1,0
583,39943526,270.0,35000.0,3.0,12.0,13.0,10 m,1,1,106.6628347,10.793765,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-hai-phuong-3-22/gan-cho-pv-chdv-cao-cap-san-vuon-mat-hem-3-tang-ngang-10-270m2-12pn-35t-pr39943526,69.0,1,0,0
593,39470766,50.0,1680.0,2.0,2.0,2.0,,1,1,106.6571319,10.7872022,https://batdongsan.com.vn/ban-nha-rieng-duong-chu-dong-tu-phuong-7-12/ban-gap-tang-het-noi-that-pr39470766,69.0,0,0,0
594,39917529,336.0,35000.0,2.0,,,14 m,1,1,106.6674502,10.7983616,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-trong-tuyen-phuong-1-23/chinh-chu-ban-gap-villas-khu-compound-p1-q-tb-dt-14m-x-24m-thiet-ke-chau-au-pr39917529,69.0,0,0,0
610,38010320,66.0,6500.0,1.0,1.0,1.0,4 m,0,1,106.634239003427,10.8262385123922,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-thi-trong-phuong-15-8/q-tan-binh-cong-lo-khu-dan-cu-cao-cap-so-51-tien-xay-dung-moi-gap-ban-pr38010320,69.0,0,1,0
633,39511036,65.0,2340.0,2.0,2.0,3.0,,1,1,106.653699635443,10.7777862921243,https://batdongsan.com.vn/ban-nha-rieng-duong-thien-phuoc-phuong-9-13/giam-gap-500tr-de-ban-gap-dtsd-130m2-tra-no-pr39511036,69.0,0,0,0
638,39956678,90.0,8300.0,3.0,5.0,,"4,1 m",1,1,106.642192,10.784533,https://batdongsan.com.vn/ban-nha-rieng-duong-au-co-phuong-10-10/90m2-3-tang-dep-p10-tan-binh-gia-8-3ty-con-tl-pr39956678,69.0,0,0,0
642,38510911,63.0,6800.0,4.0,6.0,3.0,"4,2 m",1,1,106.650906,10.7917805,https://batdongsan.com.vn/ban-nha-rieng-duong-vo-thanh-trang-phuong-11-10/ban-tan-binh-4-2-x-15-sat-mat-tien-4-tang-1-doi-chu-gia-6-x-ty-pr38510911,69.0,1,0,0
643,39863381,45.0,5200.0,2.0,2.0,2.0,,0,1,106.6500278,10.7808568,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-10-10/-p10-tan-binh-45m2-2-tang-gia-5-2ty-con-tl-pr39863381,69.0,1,0,0
644,39757469,55.0,2660.0,4.0,4.0,4.0,4 m,1,1,106.6633254,10.7914081,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-sa-phuong-5-17/cat-lo-ban-ngop-thong-hem-5m-tan-binh-p5-55m2-gia-2-ty-880tr-co-shr-pr39757469,69.0,0,0,0
665,39956419,90.0,11500.0,2.0,3.0,3.0,5 m,0,1,106.63876392695312,10.821741615013428,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-son-phuong-15-8/chu-ngop-bank-ban-hem-xe-hoi-pham-van-bach-p15-qtb-5x18-pr39956419,69.0,1,1,0
669,39761320,65.0,4800.0,3.0,4.0,4.0,5 m,0,1,106.6883684,10.8081641,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-13-10/len-song-sieu-pham-p13-tan-binh-gia-chi-4-ty-260-dt-5-x-13m-4-pn-4-tolec-pr39761320,69.0,1,0,0
691,39597001,55.5,6250.0,2.0,2.0,2.0,"4,3 m",1,0,106.6500278,10.7808568,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-10-10/ban-gap-hem-o-to-55-5m2-4-3-x-14m-hem-xe-hoi-re-t-tan-binh-sat-trung-tam-10-pr39597001,69.0,1,0,0
698,39956599,55.0,3990.0,,,,,0,0,106.6463941,10.7899044,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-phu-thu-phuong-11-10/ket-tien-ban-gap-ong-11-quan-tan-binh-khu-kinh-doanh-sam-uat-pr39956599,69.0,1,0,0
715,39955238,65.0,4950.0,1.0,2.0,2.0,,0,1,106.6612531,10.7887218,https://batdongsan.com.vn/ban-nha-rieng-duong-cach-mang-thang-tam-phuong-5-17/dau-tu-sinh-loi-ngay-p5-tan-binh-d-8-4-ty950-65m2-dang-cho-thue-23-5tr-shr-pr39955238,69.0,0,0,0
716,39955295,60.0,5550.0,2.0,4.0,3.0,,0,0,106.6330059,10.8303911,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-huy-ich-phuong-15-8/ban-can-tam-et-mtd-15-tan-binh-5-ty550-60m2-dang-cho-thue-20-5tr-shr-pr39955295,69.0,0,0,0
726,39677761,64.0,7000.0,2.0,3.0,3.0,,0,0,106.6619084,10.791296,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-hai-phuong-5-17/ban-tan-binh-64m2-o-to-do-cua-ngang-khung-gia-7-ty-pr39677761,69.0,1,0,0
739,39822840,64.0,,3.0,4.0,4.0,5 m,1,1,106.656337810156,10.8301348794526,https://batdongsan.com.vn/ban-nha-rieng-duong-than-nhan-trung-phuong-13-10/ban-nguyen-can-cho-thue-16-trieu-n-q-tan-binh-64m2-2-ty-460-so-hong-rieng-pr39822840,69.0,0,0,0
746,38885571,52.0,,2.0,2.0,2.0,,1,1,106.6586046,10.7883527,https://batdongsan.com.vn/ban-nha-rieng-duong-banh-van-tran-phuong-7-12/ban-52m2-1t1l-hem-4m-thong-shr-cho-thue-15tr-thang-pr38885571,69.0,0,1,0
749,39791104,40.0,4500.0,4.0,4.0,4.0,4 m,1,1,106.6530498,10.7965721,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thai-binh-phuong-12-10/-p12-tan-40m2-hxh-gan-mt-4-tang-st-4pn-moi-gia-4-5ty-pr39791104,69.0,0,0,0
751,39956555,44.0,2950.0,3.0,3.0,3.0,,0,0,106.6682118,10.8059195,https://batdongsan.com.vn/ban-nha-rieng-duong-pho-quang-phuong-2-22/ban-gap-p2-tan-binh-dang-co-hd-thue-16tr-th-dt-44m2-gia-2ty950-so-chinh-chu-pr39956555,69.0,0,0,0
754,36945243,112.0,22500.0,6.0,,,8 m,0,1,106.6434366,10.7920653,https://batdongsan.com.vn/ban-nha-rieng-duong-bau-cat-phuong-14-10/ban-khach-san-noi-bo-12m-khu-dt-8x14m-5-lau-21-phong-gia-24-ty-tel-0975852422-pr36945243,69.0,0,0,0
764,39892629,62.0,2320.0,3.0,4.0,4.0,5 m,1,1,106.6395688,10.8050821,https://batdongsan.com.vn/ban-nha-rieng-duong-nhat-chi-mai-phuong-13-10/sap-toi-chu-di-nuoc-ngoai-ban-gap-t-q-tan-binh-62m2-2-ty-320-shr-pr39892629,69.0,0,0,0
771,37358663,65.0,2600.0,2.0,2.0,3.0,,0,1,106.6482665,10.7965636,https://batdongsan.com.vn/ban-nha-rieng-duong-thep-moi-phuong-12-10/ban-1-tret-1-lau-d-12-q-tan-binh-gia-2ty8-dt-38m2-so-lh-0962655091-pr37358663,69.0,1,0,0
